"continent","location","highest_case_count"
"Africa","Chad","7820"
"Africa","Sierra Leone","7762"
"North America","British Virgin Islands","7305"
"Oceania","Cook Islands","7062"
"North America","Saint Kitts and Nevis","6598"
"North America","Turks and Caicos Islands","6565"
"Africa","Sao Tome and Principe","6562"
"Oceania","Palau","5999"
"North America","Saint Barthelemy","5486"
"Oceania","Nauru","5393"
"Oceania","Kiribati","5025"
"North America","Anguilla","3904"
"Oceania","Wallis and Futuna","3427"
"North America","Saint Pierre and Miquelon","3426"
"Oceania","Tuvalu","2779"
"Africa","Saint Helena","2166"
"South America","Falkland Islands","1923"
"North America","Montserrat","1403"
"Oceania","Niue","747"
"Europe","Vatican","26"
"Oceania","Tokelau","5"
"Oceania","Pitcairn","4"
"Europe","Northern Ireland",NULL
"Europe","Wales",NULL
"Europe","England",NULL
"Europe","Scotland",NULL
"Africa","Western Sahara",NULL
"Asia","Turkmenistan",NULL
"Asia","Macao",NULL
"Asia","Hong Kong",NULL
"Asia","Northern Cyprus",NULL
"Asia","North Korea",NULL
"Asia","Taiwan",NULL
